date,open,high,low,close,vol,mcap
"Aug 05, 2020",0.80423,0.890858,0.799718,0.822382,"28,031,782","268,292,652"
"Aug 04, 2020",0.916828,0.954042,0.805045,0.805045,"29,284,768","266,819,066"
"Aug 03, 2020",1.07,1.11,0.905412,0.916828,"39,093,850","303,867,480"
"Aug 02, 2020",1.35,1.37,1.06,1.07,"46,606,910","348,652,907"
"Aug 01, 2020",0.959202,1.37,0.940434,1.35,"87,652,725","431,563,272"
"Jul 31, 2020",0.669303,1.04,0.636866,0.959202,"87,838,820","311,950,858"
"Jul 30, 2020",1.18,1.23,0.632379,0.669732,"88,091,787","222,442,184"
"Jul 29, 2020",1.67,1.8,1.08,1.19,"63,200,226","378,983,045"
"Jul 28, 2020",2.26,2.27,1.52,1.67,"24,464,146","495,215,470"
"Jul 27, 2020",2.86,2.93,1.87,2.27,"39,045,561","596,589,324"
"Jul 26, 2020",2.66,2.92,2.32,2.86,"22,099,667","603,167,882"
"Jul 25, 2020",2.28,2.73,2.13,2.66,"15,671,986","477,456,627"
"Jul 24, 2020",1.98,2.41,1.79,2.28,"13,244,398","371,595,801"
"Jul 23, 2020",2.1,2.1,1.63,1.98,"12,910,794","296,489,628"
"Jul 22, 2020",2.9,2.94,1.96,2.1,"13,106,460","275,795,767"
"Jul 21, 2020",3,3.06,2.25,2.9,"11,437,272","325,662,920"
"Jul 20, 2020",2.95,3.01,2.61,3,"7,566,615","245,428,419"
"Jul 19, 2020",2.51,2.97,2.22,2.95,"5,717,672","240,682,685"
"Jul 18, 2020",2.88,2.91,2.15,2.52,"5,393,307","179,613,224"
"Jul 17, 2020",2.23,2.88,2.17,2.88,"5,526,071","176,289,281"
"Jul 16, 2020",1.7,2.41,1.66,2.2,"3,171,328","123,654,306"
"Jul 15, 2020",1.61,1.81,1.43,1.7,"2,233,143","89,623,644"
"Jul 14, 2020",1.93,2.21,1.33,1.61,"4,015,062","79,609,128"
"Jul 13, 2020",3.23,3.45,1.93,1.93,"6,143,013","83,618,245"
"Jul 12, 2020",3.83,4.04,3.09,3.23,"8,225,698","110,015,645"
"Jul 11, 2020",3.38,3.85,2.68,3.84,"9,379,058","107,712,155"
"Jul 10, 2020",2.82,3.4,2.73,3.38,"5,791,042","77,262,000"
"Jul 09, 2020",2.42,2.82,2.21,2.82,"3,227,323","55,221,541"
"Jul 08, 2020",1.92,2.55,1.9,2.42,"2,738,475","42,774,669"
"Jul 07, 2020",1.96,2.06,1.86,1.92,"1,344,611","30,292,991"
"Jul 06, 2020",2.07,2.09,1.84,1.96,"1,630,111","28,415,023"
"Jul 05, 2020",2.36,2.39,1.89,2.07,"1,913,386","27,039,498"
"Jul 04, 2020",1.95,2.38,1.89,2.36,"2,311,285","27,825,470"
"Jul 03, 2020",2.24,2.28,1.72,1.95,"1,589,719","21,192,347"
"Jul 02, 2020",2.95,3.06,1.75,2.24,"3,978,720","21,519,249"
"Jul 01, 2020",2.3,2.96,2.25,2.94,"4,679,920","16,481,648"
"Jun 30, 2020",1.77,3.58,1.77,2.29,"2,215,964","12,861,193"
"Jun 29, 2020",1.46,1.95,1.45,1.77,"1,590,524","9,934,645"
"Jun 28, 2020",1.24,1.57,1.15,1.46,"1,194,044","8,167,039"
"Jun 27, 2020",1.22,1.38,1.18,1.24,"888,792","6,962,958"
"Jun 26, 2020",1.17,1.25,1.12,1.22,"665,077","6,815,678"
"Jun 25, 2020",1.15,1.21,1.12,1.17,"852,470","6,544,388"
"Jun 24, 2020",1.01,1.15,1.01,1.14,"808,563","6,402,883"
"Jun 23, 2020",1.02,1.09,0.995775,1.01,"154,983","5,671,037"
"Jun 22, 2020",1.01,1.03,0.994016,1.02,"45,022.41","5,702,669"
"Jun 21, 2020",1,1.02,0.998177,1.01,"22,064.79","5,758,457"
"Jun 20, 2020",0.995901,1.01,0.981483,1.01,"12,704.80","5,742,083"
"Jun 19, 2020",1.04,1.04,0.990284,0.993116,"11,168.24","5,672,930"
"Jun 18, 2020",1.01,1.08,0.998641,1.04,"78,316.47","5,963,644"
"Jun 17, 2020",0.983768,1.01,0.971192,1.01,"12,914.44","5,746,466"
"Jun 16, 2020",0.94765,0.991456,0.935419,0.983549,"11,086.11","5,618,281"
"Jun 15, 2020",0.966469,0.969417,0.904722,0.946651,"5,338.60","5,407,509"
